"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"","","","","Lecture","30591R","001","2:00-3:20pm","Mon, Wed","110","22","0","Gandhi Puvvada","OHE122"
"","","","","Discussion","30497R","001","3:30-4:20pm","Thursday","76","30","0","","ZHS252"
"","","","","Discussion","30593R","001","12:00-12:50pm","Friday","110","12","0","","OHE122"
"","","","","Quiz","30997R","001","10:00-11:50am","Friday","150","38","0","","TBA"
"CSCI-487","Programming Game Engines","P","4.0 units","Lecture-Lab","32062R","001","7:00-8:50pm","Mon, Wed","45","33","0","Sanjay Madhav","OHE540"
"CSCI-490x","Directed Research","C","1.0-8.0 units, max 12","Lecture","30229D","001","TBA","TBA","100","10","0","","OFFICE"
"CSCI-491bL","Final Game Project","P","2.0 units","Lecture-Lab","30219R","001","2:00-5:20pm","Thursday","46","31","0","Scott Easley, Matthew Whiting","SCI108"
"CSCI-495","Senior Project","","2.0 units","Lecture-Lab","50526D","001","TBA","TBA","24","0","0","","OFFICE"
"CSCI-501","Numerical Analysis and Computation","","3.0 units","Lecture","39694R","001","12:00-12:50pm","MWF","35","12","0","Chunming Wang","KAP147"
"CSCI-502b","Numerical Analysis","P","3.0 units","Lecture","39698R","001","10:00-10:50am","MWF","20","3","0","Chunming Wang","KAP134"
"CSCI-503","Parallel Programming","","3.0 units","Lecture","30305D","048","10:00-11:50am","Mon, Wed","38","12","0","Jacqueline Chame","MHP B7B"
"CSCI-505b","Applied Probability","P","3.0 units","Lecture","39708R","001","1:00-1:50pm","MWF","20","12","0","Gary Rosen","KAP138"
"CSCI-524","Networked Artificial Intelligence","","4.0 units","Lecture","30011D","048","10:00-1:40pm","Tuesday","50","0","0","Mike Zyda","EGG108"
"CSCI-526","Advanced Mobile Devices and Game Consoles","","4.0 units","Lecture","30012D","048","10:00-1:20pm","Wednesday","50","0","0","Mike Zyda","EGG108"
"","","","","Lecture","30122D","048","2:00-5:30pm","Monday","50","1","0","Scott Easley","EGG108"
"CSCI-529b","Advanced Game Projects","P","2.0 units","Lecture-Lab","30220D","048","4:00-6:50pm","Thursday","50","1","0","Mike Zyda, St Colon","EGG108"
"CSCI-531","Applied Cryptography","","3.0 units","Lecture","30320D","048","9:30-10:50am","Mon, Wed","40","0","0","William Cheng","OHE100D"
"","","","","Discussion","30031R","048","1:00-1:50pm","Friday","40","0","0","","OHE136"
"","","","","Lecture","30321D","034","9:30-10:50am","Mon, Wed","20","2","0","William Cheng","DEN@Viterbi"
"","","","","Discussion","30032R","034","1:00-1:50pm","Friday","20","2","0","","DEN@Viterbi"
"CSCI-536","Linear Programming and Extensions","P","3.0 units","Lecture","31536D","048","2:00-3:20pm","Tue, Thu","35","8","0","Suvrajeet Sen","KAP148"
"CSCI-544","Applied Natural Language Processing","","3.0 units","Lecture","30027D","048","4:00-7:50pm","Monday","100","1","0","Ron Artstein","THH201"
"CSCI-545","Robotics","","4.0 units","Lecture","30323D","048","9:30-10:50am","Mon, Wed","50","3","0","Stefan Schaal","HNB100"
"","","","","Lecture","30398D","048","8:00-9:20am","Mon, Wed","50","2","0","Stefan Schaal","SSL150"
"","","","","Lab","30064R","048","4:00-6:00pm","Friday","100","5","0","","TBA"
"CSCI-551","Computer Communications","P","4.0 units","Lecture","30053D","048","3:30-6:20pm","Monday","40","4","0","Minlan Yu","VPD106"
"CSCI-552","Asynchronous VLSI Design","PC","3.0 units","Lecture","30702D","048","11:00-12:20pm","Tue, Thu","56","56","0","Peter Beerel","OHE100D"
"","","","","Discussion","30703R","048","12:00-12:50pm","Friday","56","56","0","","OHE100D"
"","","","","Lecture","30700D","034","11:00-12:20pm","Tue, Thu","20","1","0","Peter Beerel","DEN@Viterbi"
"","","","","Discussion","30701R","034","12:00-12:50pm","Friday","20","1","0","","DEN@Viterbi"
"CSCI-553","Computational Solution of Optimization Problems","P","3.0 units","Lecture","31266R","001","TBA","TBA","40","0","0","","OFFICEOFFICE"
"CSCI-557","Computer Systems Architecture","P","3.0 units","Lecture","30820R","048","3:30-4:50pm","Mon, Wed","75","27","0","Michel Dubois","OHE122"
"","","","","Lecture","30823D","048","3:30-4:50pm","Tue, Thu","55","55","0","Murali Annavaram","THH116"
"","","","","Discussion","30722R","048","8:30-9:20am","Wednesday","75","32","0","","OHE122"
"","","","","Discussion","30825R","048","12:00-12:50pm","Friday","53","49","0","","SOS B46"
"","","","","Lecture","30716D","034","3:30-4:50pm","Mon, Wed","20","2","0","Michel Dubois","DEN@Viterbi"
"","","","","Discussion","30718R","034","8:30-9:20am","Wednesday","20","2","0","","DEN@Viterbi"
"CSCI-559","Mathematical Pattern Recognition","","3.0 units","Lecture","30728D","034","3:30-4:50pm","Mon, Wed","20","3","0","Keith Jenkins","DEN@Viterbi"
"","","","","Discussion","30886R","034","5:00-5:50pm","Thursday","20","3","0","","DEN@Viterbi"
"","","","","Lecture","30730R","048","3:30-4:50pm","Mon, Wed","60","21","0","Keith Jenkins","OHE132"
"","","","","Discussion","30885R","048","5:00-5:50pm","Thursday","60","21","0","","OHE132"
"CSCI-561","Foundations of Artificial Intelligence","","4.0 units","Lecture","30080D","048","5:00-6:20pm","Tue, Thu","330","12","0","","SGM123"
"","","","","Discussion","29937R","048","7:00-7:50pm","Wednesday","37","0","0","","KAP146"
"","","","","Discussion","29938R","048","5:00-5:50pm","Friday","37","1","0","","KAP146"
"","","","","Discussion","29939R","048","8:00-8:50pm","Wednesday","37","0","0","","KAP146"
"","","","","Discussion","29940R","048","4:00-4:50pm","Thursday","37","3","0","","KAP140"
"","","","","Discussion","29941R","048","3:00-3:50pm","Thursday","37","2","0","","VKC261"
"","","","","Discussion","29942R","048","11:00-11:50am","Friday","37","2","0","","KAP158"
"","","","","Discussion","29943R","048","2:00-2:50pm","Friday","37","1","0","","KAP146"
"","","","","Discussion","29944R","048","12:00-12:50pm","Friday","37","0","0","","KAP158"
"","","","","Discussion","29947R","048","2:00-2:50pm","Friday","37","3","0","","OHE136"
"","","","","Lecture","29936D","034","5:00-6:20pm","Tue, Thu","25","3","0","","DEN@Viterbi"
"","","","","Discussion","30030R","034","2:00-2:50pm","Friday","25","3","0","","DEN@Viterbi"
"CSCI-565","Compiler Design","P","4.0 units","Lecture","30114D","048","1:00-4:20pm","Friday","30","1","0","Pedro Diniz","KAP147"
"CSCI-568","Requirements Engineering","","3.0 units","Lecture","30332D","048","2:00-5:20pm","Monday","50","1","0","George Edwards","OHE100D"
"","","","","Lecture","30334D","034","2:00-5:20pm","Monday","20","2","0","George Edwards","DEN@Viterbi"
"CSCI-570","Analysis of Algorithms","","4.0 units","Lecture","30177D","048","6:40-9:20pm","Wednesday","200","8","0","Shahriar Shamsian","SGM123"
"","","","","Lecture","30395D","048","6:40-9:20pm","Thursday","200","3","0","Shahriar Shamsian","SGM123"
"","","","","Discussion","29913R","048","9:00-9:50am","Friday","58","0","0","Jeff Miller","THH208"
"","","","","Discussion","29917R","048","10:00-10:50am","Friday","58","1","0","Jeff Miller","THH116"
"","","","","Discussion","29922R","048","11:00-11:50am","Friday","58","3","0","Jeff Miller","THH116"
