"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"","","","","Lecture","03929D","941",":-:am","TBA","1","1","0","Nomi Stolzenberg",", OFFICE"
"","","","","Lecture","03934D","941",":-:am","TBA","1","1","0","Josh Lockman",", OFFICE"
"","","","","Lecture","03937D","941",":-:am","TBA","1","1","0","Michael Shapiro",", OFFICE"
"LAW-762b","Interdisciplinary Law Journal Editing","PM","1.0-3.0 units","Lecture","03466R","941",":-:am","TBA","21","21","0","Camille Rich",", OFFICE"
"LAW-763","Federal Courts: The Federal System II","M","3.0-5.0 units","Lecture","03468R","941","8:00-9:15am","Tue, Thu","40","9","0","","LAW1"
"LAW-767b","Law Review Staff","PM","1.0-2.0 units","Lecture","03484D","941",":-:am","TBA","34","34","0","Ron Garet",", OFFICE"
"LAW-768","Law Review Writing","M","1.0-4.0 units, max 4","Lecture","03918D","941",":-:am","TBA","1","0","0","Samuel Erman",", OFFICE"
"","","","","Lecture","03919D","941",":-:am","TBA","1","1","0","Scott Altman",", OFFICE"
"","","","","Lecture","03920D","941",":-:am","TBA","1","1","0","Jody Armour",", OFFICE"
"","","","","Lecture","03921D","941",":-:am","TBA","1","1","0","Ed Mc Caffery",", OFFICE"
"","","","","Lecture","03922D","941",":-:am","TBA","1","1","0","Heidi Rummel",", OFFICE"
"","","","","Lecture","03923D","941",":-:am","TBA","1","1","0","Tom Griffith",", OFFICE"
"","","","","Lecture","03924D","941",":-:am","TBA","1","1","0","Niels Frenzen",", OFFICE"
"","","","","Lecture","03933D","941",":-:am","TBA","1","1","0","Scott Altman",", OFFICE"
"","","","","Lecture","03936D","941",":-:am","TBA","1","1","0","Elyn Saks",", OFFICE"
"LAW-769b","Law Review Editing","PM","1.0-3.0 units","Lecture","03486D","941",":-:am","TBA","1","1","0","Ron Garet",", OFFICE"
"","","","","Lecture","03487R","941",":-:am","TBA","29","23","0","Ron Garet",", OFFICE"
"LAW-770","Technology Transactions","M","2.0-3.0 units","Lecture","03488R","941","4:00-6:50pm","Tuesday","20","20","0","Richard Friedman","LAW2"
"LAW-773","Internet Law","M","2.0-4.0 units","Lecture","03491D","941","4:00-5:50pm","Wednesday","30","29","0","Kenneth Wilton","LAW1"
"LAW-775","Immigration Law","M","2.0-5.0 units","Lecture","03497R","941","9:30-10:45am","Tue, Thu","25","16","0","Niels Frenzen","LAW2"
"LAW-778","Sales","","2.0-4.0 units","Lecture","03500R","941","6:00-7:50pm","Thursday","45","3","0","Brian Holman","LAW101"
"LAW-780","Intellectual Property and Technology Law Clinic II","PM","2.0-5.0 units","Lecture","03502D","941","10:00-11:50am","Monday","8","8","0","Valerie Barreiro","LAW106"
"LAW-781","Clinical Internship/Externship I","M","1.0-13.0 units","Lecture","03505D","941",":-:am","TBA","1","1","0","Niels Frenzen, Rachel Rothbart, Josh Stehlik, Malissa Barnwell Scott",", OFFICE"
"","","","","Lecture","03515D","941","TBA","TBA","2","2","0","Niels Frenzen, Rachel Rothbart, Josh Stehlik, Malissa Barnwell Scott","OFFICE"
"LAW-782","Clinical Internship/Externship II","M","1.0-13.0 units","Lecture","03528D","941",":-:am","TBA","1","1","0","Niels Frenzen, Rachel Rothbart, Josh Stehlik, Malissa Barnwell Scott",", OFFICE"
"LAW-796","Immigration Clinic II","PM","2.0-5.0 units","Lecture","03543D","941","2:00-3:30pm","Monday","10","8","0","Niels Frenzen","LAW114"
"LAW-798","Law, Mental Health and Ethics","","2.0-3.0 units, max 8","Lecture","03545D","941",":-:am","TBA","10","10","0","Elyn Saks",", OFFICE"
"","","","","Lecture","04077D","968","TBA","TBA","1","0","0","Elyn Saks, Deborah Call-Bulluck","OFFICE"
"LAW-808","Medical-Legal Community Partnership Seminar and Practicum","","1.0-4.0 units","Lecture","03559R","505",":-:am","TBA","8","1","0","Barbara Siegel, Katherine Meiss",", OFFICE"
"LAW-809","Deposition Strategies and Techniques","M","2.0-3.0 units","Lecture","03550D","941","2:00-3:50pm","Thursday","16","15","0","Harvey Friedman","LAW114"
"LAW-811","Health Law and Policy","","2.0-4.0 units","Lecture","03552R","941","3:30-4:45pm","Mon, Wed","15","11","0","Ankit Shah","LAW2"
"LAW-812","Patent Litigation","M","3.0 units","Lecture","03553R","941","4:00-6:50pm","Wednesday","20","10","0","Wayne Barsky, Jason Lo","LAW107"
"LAW-813","Arbitration in the United States","M","3.0 units","Lecture","03554R","941","3:00-5:30pm","Tuesday","30","11","0","Richard Chernick","LAW103"
"LAW-815","Deals","","3.0-4.0 units","Lecture","03566D","001","9:30-10:45am","Tue, Thu","20","0","0","Jonathan Barnett, Mark Weinstein</a>","LAW107, LAW107"
"","","","","Lecture","03567R","941","9:30-10:45am","Tue, Thu","20","19","0","Jonathan Barnett, Mark Weinstein</a>","LAW107, LAW107"
"LAW-820","Pretrial Advocacy","M","3.0-4.0 units","Lecture","03573D","941","3:00-6:30pm","Thursday","24","24","0","Freddie Fenster","LAW103"
"LAW-821","Trial Advocacy","M","3.0-4.0 units","Lecture","03575D","941","3:00-5:50pm","Tuesday","27","27","0","Mike Brennan, Caroline Wittcoff, Bruce Riordan, Robert Dugdale","LAW107, LAW107"
"LAW-822","Alternative Dispute Resolution Clause Drafting","M","1.0 unit","Lecture","03577D","502",":-:am","TBA","20","20","0","Richard Chernick",", OFFICE"
"LAW-824","Arbitration Advocacy","M","1.0-2.0 units","Lecture","03578D","503",":-:am","TBA","20","19","0","Barbara Reeves-Neal",", OFFICE"
"LAW-825","International Arbitration Competition","M","1.0-3.0 units, max 6","Lecture","03568D","941","2:00-3:50pm","Wednesday","4","2","0","John Garman","LAW106"
"LAW-826","Employment Dispute Mediation","M","1.0 unit","Lecture","03572D","504",":-:am","TBA","20","20","0","",", OFFICE"
"LAW-833","Labor Arbitration","M","2.0 units","Lecture","03601R","941","6:00-7:50pm","Monday","20","16","0","","LAW118"
"LAW-835","Transactional Due Diligence","","1.0 unit","Lecture","03603D","941","6:00-6:50pm","Tuesday","20","20","0","","LAW101"
"LAW-837","Diversity: Legal and Social Perspectives","M","2.0-3.0 units","Lecture","03569R","941","2:00-3:50pm","Thursday","14","7","0","Stephen Rich","LAW12"
"","","","","Lecture","03570R","941","2:00-3:50pm","Thursday","14","1","0","Stephen Rich","LAW12"
"LAW-838","Patent Drafting and Prosecution","M","3.0 units","Lecture","03606R","941","10:00-11:50am","Wednesday","20","11","0","","LAW114"
"LAW-842","Partnership Taxation","","2.0-4.0 units","Lecture","03596R","941","6:00-8:30pm","Tuesday","50","15","0","Samuel Greenberg","LAW1"
"LAW-850","International Human Rights Clinic II","PM","4.0-5.0 units","Lecture","03604D","941","10:00-11:50am","Wednesday","8","7","0","Hannah Garry","LAW106"
"LAW-851","Topics in Criminal Law and Criminology","M","1.0-4.0 units, max 8"
"","Criminal Law at the Margins","","3.0","Lecture","03605R","941","2:00-4:50pm","Wednesday","24","15","0","Gary Watson","LAW114"
"LAW-855","Topics in Maritime and Admiralty Law","M","2.0-4.0 units, max 6","Lecture","03564R","943","4:00-7:00pm","Monday","20","1","0","Charles Donovan","LAW106"
"LAW-857","Legal Design Challenge","M","2.0 units"
"","Global Supply Chains","","2.0","Lecture","03614R","941","10:00-11:50am","Tuesday","20","8","0","Gillian Hadfield","LAW114"
"LAW-860","International Criminal Law","M","4.0 units","Lecture","03620R","941","10:00-11:50am","Tue, Thu","25","12","0","Hannah Garry","LAW12"
"LAW-867","Corporate Fraud","M","2.0-4.0 units","Lecture","03631D","941","2:00-4:50pm","Wednesday","30","30","0","Robert Fairbank","LAW130"
"LAW-869","Family Law Mediation Clinic","PM","4.0 units","Lecture","03633D","941",":-:am","TBA","10","0","0","",", OFFICE"
"LAW-870","Legal Writing Fellows","M","1.0-4.0 units, max 7","Lecture","03635R","941",":-:am","TBA","10","3","0","Elizabeth Carroll",", OFFICE"
"","","","","Lecture","03636R","941",":-:am","TBA","10","3","0","Elizabeth Carroll",", OFFICE"
