"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"EE-559","Mathematical Pattern Recognition","","3.0 units","Lecture","30728D","034","3:30-4:50pm","Mon, Wed","20","3","0","Keith Jenkins","DEN@Viterbi"
"","","","","Discussion","30886R","034","5:00-5:50pm","Thursday","20","3","0","","DEN@Viterbi"
"","","","","Lecture","30730R","048","3:30-4:50pm","Mon, Wed","60","21","0","Keith Jenkins","OHE132"
"","","","","Discussion","30885R","048","5:00-5:50pm","Thursday","60","21","0","","OHE132"
"EE-561","Foundations of Artificial Intelligence","","4.0 units","Lecture","30080D","048","5:00-6:20pm","Tue, Thu","330","12","0","","SGM123"
"","","","","Discussion","29937R","048","7:00-7:50pm","Wednesday","37","0","0","","KAP146"
"","","","","Discussion","29938R","048","5:00-5:50pm","Friday","37","1","0","","KAP146"
"","","","","Discussion","29939R","048","8:00-8:50pm","Wednesday","37","0","0","","KAP146"
"","","","","Discussion","29940R","048","4:00-4:50pm","Thursday","37","3","0","","KAP140"
"","","","","Discussion","29941R","048","3:00-3:50pm","Thursday","37","2","0","","VKC261"
"","","","","Discussion","29942R","048","11:00-11:50am","Friday","37","2","0","","KAP158"
"","","","","Discussion","29943R","048","2:00-2:50pm","Friday","37","1","0","","KAP146"
"","","","","Discussion","29944R","048","12:00-12:50pm","Friday","37","0","0","","KAP158"
"","","","","Discussion","29947R","048","2:00-2:50pm","Friday","37","3","0","","OHE136"
"","","","","Lecture","29936D","034","5:00-6:20pm","Tue, Thu","25","3","0","","DEN@Viterbi"
"","","","","Discussion","30030R","034","2:00-2:50pm","Friday","25","3","0","","DEN@Viterbi"
"EE-562","Random Processes in Engineering","P","3.0 units","Lecture","30867D","034","11:00-12:20pm","Tue, Thu","20","0","0","Urbashi Mitra","DEN@Viterbi"
"","","","","Lecture","30991R","048","11:00-12:20pm","Tue, Thu","40","11","0","Urbashi Mitra","OHE100C"
"","","","","Discussion","30865R","034","3:30-4:20pm","Tuesday","20","0","0","","DEN@Viterbi"
"","","","","Discussion","30891R","048","3:30-4:20pm","Tuesday","40","11","0","","OHE100B"
"EE-565","Information Theory and Compression","P","3.0 units","Lecture","30866D","034","2:00-3:20pm","Mon, Wed","20","3","0","Salman Avestimehr","DEN@Viterbi"
"","","","","Lecture","30890R","048","2:00-3:20pm","Mon, Wed","30","7","0","Salman Avestimehr","OHE136"
"EE-566","Optical Information Processing","","3.0 units","Lecture","30751R","048","12:30-1:50pm","Mon, Wed","30","13","0","Keith Jenkins","VHE210"
"EE-570a","Advanced Electromagnetic Theory","P","3.0 units","Lecture","30998D","034","9:30-10:50am","Tue, Thu","20","2","0","Aluizio Prata","DEN@Viterbi"
"","","","","Discussion","30985R","034","8:00-9:50am","Friday","20","2","0","","DEN@Viterbi"
"","","","","Lecture","30788R","048","9:30-10:50am","Tue, Thu","22","2","0","Aluizio Prata","OHE120"
"","","","","Discussion","30958R","048","8:00-9:50am","Friday","22","2","0","","OHE100D"
"EE-573a","Antenna Analysis","P","3.0 units","Lecture","30445D","034","2:00-3:20pm","Tue, Thu","10","1","0","Aluizio Prata","DEN@Viterbi"
"","","","","Lecture","31114R","048","2:00-3:20pm","Tue, Thu","20","1","0","Aluizio Prata","OHE120"
"","","","","Discussion","30488R","034","5:00-5:50pm","Thursday","10","1","0","","DEN@Viterbi"
"","","","","Discussion","30706R","048","5:00-5:50pm","Thursday","20","1","0","","OHE120"
"EE-577a","VLSI System Design","P","3.0 units","Lecture","30758D","034","12:30-1:50pm","Tue, Thu","20","1","0","Shahin Nazarian","DEN@Viterbi"
"","","","","Lecture","30759R","048","9:30-10:50am","Tue, Thu","55","55","0","Shahin Nazarian","SSL150"
"","","","","Lecture","30760R","048","12:30-1:50pm","Tue, Thu","55","28","0","Shahin Nazarian","OHE132"
"","","","","Lecture","30944R","048","2:00-3:20pm","Tue, Thu","55","45","0","Shahin Nazarian","THH114"
"","","","","Discussion","30679R","048","8:00-8:50am","Friday","210","128","0","","SGM124"
"","","","","Discussion","30680R","034","8:00-8:50am","Friday","20","1","0","","DEN@Viterbi"
"","","","","Quiz","30401R","048","6:30-8:20pm","Wednesday","200","112","0","","TBA"
"EE-577b","VLSI System Design","P","3.0 units","Lecture","30551D","034","5:00-6:20pm","Mon, Wed","20","1","0","Jeffrey Draper","DEN@Viterbi"
